accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.020849344326781039e-02,2.970899804666011015e-02,-9.787795569104270399e+00
-9.132618694521876107e-03,2.988066976902379809e-02,-9.790119992439276331e+00
1.668127304963899424e-02,7.836726301875460848e-03,-9.771502275921911007e+00
-7.786140224306487868e-03,-1.574948385662185493e-02,-9.786413416374729835e+00
7.525748258875255940e-03,-2.323516662155605816e-02,-9.790713708192850362e+00
1.189675395148595896e-02,-1.380474618206432684e-03,-9.791364009057824447e+00
-1.996632350301234815e-02,8.560822180720989438e-03,-9.776630583364877225e+00
-1.028012406306251687e-02,-3.910297831632042823e-03,-9.764957914649496473e+00
1.975411371353895384e-02,-2.921328472856495745e-02,-9.783752562767780603e+00
-3.575383591793997173e-03,8.274889380079041706e-03,-9.794841455111285455e+00
1.021889765190185737e-03,1.101487867451111068e-02,-9.794985437573361153e+00
-7.917117959484694378e-03,-1.163084426682754573e-02,-9.789426931625344608e+00
4.405433360842689328e-03,2.539654748838234173e-03,-9.801018040648358465e+00
-1.211027781552889877e-02,-2.341868771394444403e-03,-9.787066570323149861e+00
9.447616747330477710e-03,-1.602871981246237892e-02,-9.764795654499909716e+00
-3.146285929081664434e-03,2.245030319733563873e-02,-9.766926180034509741e+00
-7.140648697439805001e-03,1.189934013204809252e-02,-9.784740983027331751e+00
1.298274876503748357e-02,3.202032242141195778e-02,-9.777903108911900176e+00
-1.017903840375993484e-02,-2.163634182775587417e-03,-9.789329118608538494e+00
1.203014842798012449e-02,-4.359814490745227492e-03,-9.793913451809455495e+00
3.957037026211115364e-04,1.011768534231294314e-02,-9.785599351240938049e+00
5.255898435858958250e-04,8.049125819687434971e-03,-9.790193268199757881e+00
1.161931390498883608e-03,-9.892050815009578377e-03,-9.790856752419943021e+00
3.082633678703433980e-02,-9.960205564480018037e-03,-9.783949505547553827e+00
-1.775289661191159843e-02,5.220125191737180759e-03,-9.789874915779885001e+00
1.170438871653613211e-03,-1.155000644359220705e-03,-9.746125637187880386e+00
4.385246864632322966e-03,5.098618915933457625e-03,-9.767293948874165466e+00
-1.066347625566006242e-02,4.351435443994087007e-03,-9.790715527742635871e+00
1.191063784600920016e-02,8.380153843539864256e-03,-9.759383084999763369e+00
-1.028107897174419111e-02,1.432663673606244213e-02,-9.776271379320149890e+00
3.949254052086986072e-02,2.638474462804211301e-02,-9.797620874076837794e+00
1.081021074391900517e-02,-1.703539784397105350e-02,-9.763748227999059282e+00
-7.740676232001906555e-03,6.569746578609384803e-03,-9.817248163100437353e+00
9.657703692487805067e-03,2.154398899100319273e-02,-9.772565396436508678e+00
-3.014166408083288930e-03,-6.306470821132116947e-03,-9.790382632725020073e+00
1.069485062103580752e-03,1.008876212611488007e-03,-9.778209704161520577e+00
7.656366017769660262e-03,9.850999152023885708e-03,-9.788481775234870952e+00
